Country,State,City,Station,Last Update,Latitude,Longitude,Pollutant Id,Pollutant Min,Pollutant Max,Pollutant Avg
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",27-11-2025 18:00,29.4723508,77.7194031,PM10,71,443,163
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",27-11-2025 18:00,28.5447608,77.3231257,PM2.5,306,500,405
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",27-11-2025 18:00,28.5447608,77.3231257,OZONE,10,19,14
India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD",27-11-2025 18:00,28.6245479,77.3577104,PM2.5,133,430,340
India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD",27-11-2025 18:00,28.6245479,77.3577104,CO,39,108,77
India,Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB",27-11-2025 18:00,28.5898,77.3101,PM2.5,310,500,409
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",27-11-2025 18:00,28.56923,77.393848,PM10,194,500,418
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",27-11-2025 18:00,25.425602,81.917152,PM10,114,274,172
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",27-11-2025 18:00,29.06351,77.709723,PM10,94,479,250
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",27-11-2025 18:00,29.06351,77.709723,SO2,8,25,15
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB",27-11-2025 18:00,28.83526,78.7446,NO2,29,29,29
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB",27-11-2025 18:00,28.83526,78.7446,SO2,75,80,78
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",27-11-2025 18:00,28.840739,78.697531,NH3,1,2,1
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",27-11-2025 18:00,28.840739,78.697531,CO,2,70,15
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",27-11-2025 18:00,28.88528,78.7388,NO2,16,16,16
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB",27-11-2025 18:00,26.90723,80.98579,SO2,41,43,42
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",27-11-2025 18:00,26.8458805,80.9365541,NO2,39,53,49
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",27-11-2025 18:00,26.8458805,80.9365541,SO2,3,25,12
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",27-11-2025 18:00,26.8458805,80.9365541,OZONE,9,70,52
India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB",27-11-2025 18:00,28.999264,77.7590354,SO2,12,69,28
India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",27-11-2025 18:00,28.9535882,77.7622941,PM2.5,62,432,307
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",27-11-2025 18:00,26.730136,83.433859,PM10,14,82,50
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",27-11-2025 18:00,28.47272,77.482,NH3,5,15,10
India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB",27-11-2025 18:00,28.725645,77.749675,NO2,9,103,50
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",27-11-2025 18:00,25.425602,81.917152,SO2,2,26,10
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB",27-11-2025 18:00,25.494,81.863,PM10,77,261,141
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",27-11-2025 18:00,25.301778,82.996789,PM2.5,45,297,133
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB",27-11-2025 18:00,25.4547,78.6039,SO2,12,18,15
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",27-11-2025 18:00,26.428282,80.327067,NH3,2,2,2
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",27-11-2025 18:00,26.428282,80.327067,SO2,12,25,19
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",27-11-2025 18:00,26.428282,80.327067,CO,37,96,43
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",27-11-2025 18:00,26.766433,80.927299,PM2.5,42,353,174
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",27-11-2025 18:00,26.766433,80.927299,NH3,6,13,9
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB",27-11-2025 18:00,26.86812,81.005119,OZONE,27,40,37
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",27-11-2025 18:00,25.262326,82.995408,PM2.5,43,208,125
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",27-11-2025 18:00,25.32393,82.99687,PM10,57,145,109
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",27-11-2025 18:00,25.32393,82.99687,SO2,28,33,29
India,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",27-11-2025 18:00,30.269444,78.044167,CO,40,42,40
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",27-11-2025 18:00,29.2124114,78.9611753,CO,33,39,36
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",27-11-2025 18:00,29.2124114,78.9611753,OZONE,1,4,2
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",27-11-2025 18:00,23.685297,86.945968,NH3,2,9,5
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",27-11-2025 18:00,23.685297,86.945968,CO,26,78,41
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",27-11-2025 18:00,23.697936,86.944395,NH3,3,4,3
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",27-11-2025 18:00,23.697936,86.944395,OZONE,7,50,38
